x;y;z;p
0.1492566394;-0.01120488179;0;0.40590023
0.1492566394;-0.01120488179;1;0.40590023
0.1415178464;-0.00939296192;0;0.4254300735
0.1415178464;-0.00939296192;1;0.4254300735
0.133949509;-0.008320034439;0;0.4327084245
0.133949509;-0.008320034439;1;0.4327084245
0.1266722705;-0.007879564144;0;0.4341942752
0.1266722705;-0.007879564144;1;0.4341942752
0.1196735307;-0.007939054192;0;0.434112691
0.1196735307;-0.007939054192;1;0.434112691
0.1130078993;-0.008402313768;0;0.4316163107
0.1130078993;-0.008402313768;1;0.4316163107
0.1066560967;-0.009161505693;0;0.4268315477
0.1066560967;-0.009161505693;1;0.4268315477
0.1006173539;-0.0100880653;0;0.4212248536
0.1006173539;-0.0100880653;1;0.4212248536
0.09486497846;-0.01109956729;0;0.4148285685
0.09486497846;-0.01109956729;1;0.4148285685
0.08938829443;-0.01212390585;0;0.407936587
0.08938829443;-0.01212390585;1;0.407936587
0.08415783804;-0.01310611218;0;0.3995878914
0.08415783804;-0.01310611218;1;0.3995878914
0.07918566186;-0.0139872987;0;0.3922806665
0.07918566186;-0.0139872987;1;0.3922806665
0.07443373972;-0.01469998446;0;0.3892468194
0.07443373972;-0.01469998446;1;0.3892468194
0.06991009573;-0.01524858968;0;0.3886915503
0.06991009573;-0.01524858968;1;0.3886915503
0.06562079904;-0.01564566708;0;0.391149096
0.06562079904;-0.01564566708;1;0.391149096
0.06156883077;-0.01592685888;0;0.3944945528
0.06156883077;-0.01592685888;1;0.3944945528
0.05774541226;-0.01609021887;0;0.3997189224
0.05774541226;-0.01609021887;1;0.3997189224
0.9982853586;8.145182359e-05;0;0.08073882193
0.9982853586;8.145182359e-05;1;0.08073882193
0.9963610716;0.0001730929202;0;0.08952811199
0.9963610716;0.0001730929202;1;0.08952811199
0.9942259938;0.0002583695555;0;0.09748749516
0.9942259938;0.0002583695555;1;0.09748749516
0.9919097629;0.0003375066201;0;0.1027900886
0.9919097629;0.0003375066201;1;0.1027900886
0.9894209578;0.000415883661;0;0.109076617
